station_key,day,observed_hours,rental_count,mean_temperature
yeouinaru_exit_1,2023-01-01,24,48,0.33749999999999997
yeouinaru_exit_1,2023-01-02,24,96,-4.379166666666667
yeouinaru_exit_1,2023-01-03,24,81,-4.9624999999999995
yeouinaru_exit_1,2023-01-04,24,114,-1.9083333333333332
yeouinaru_exit_1,2023-01-05,24,112,-1.7166666666666666
yeouinaru_exit_1,2023-01-06,24,111,0.3249999999999999
yeouinaru_exit_1,2023-01-07,24,57,1.7458333333333336
yeouinaru_exit_1,2023-01-08,24,91,0.8958333333333335
yeouinaru_exit_1,2023-01-09,24,154,3.5208333333333326
yeouinaru_exit_1,2023-01-10,24,156,1.4583333333333333
yeouinaru_exit_1,2023-01-11,24,200,2.6875
yeouinaru_exit_1,2023-01-12,24,209,5.316666666666666
yeouinaru_exit_1,2023-01-13,24,28,8.320833333333333
yeouinaru_exit_1,2023-01-14,24,45,7.0125
yeouinaru_exit_1,2023-01-15,24,23,0.36666666666666653
yeouinaru_exit_1,2023-01-16,24,105,-4.237500000000001
yeouinaru_exit_1,2023-01-17,24,112,-3.8708333333333322
yeouinaru_exit_1,2023-01-18,24,106,-1.8041666666666665
yeouinaru_exit_1,2023-01-19,24,113,-0.6958333333333329
yeouinaru_exit_1,2023-01-20,24,47,-2.45
yeouinaru_exit_1,2023-01-21,24,29,-4.879166666666667
yeouinaru_exit_1,2023-01-22,24,37,-0.7083333333333334
yeouinaru_exit_1,2023-01-23,24,59,-0.19999999999999998
yeouinaru_exit_1,2023-01-24,24,5,-13.837499999999999
yeouinaru_exit_1,2023-01-25,24,66,-12.008333333333333
yeouinaru_exit_1,2023-01-26,24,14,-6.2
yeouinaru_exit_1,2023-01-27,24,58,-6.941666666666666
yeouinaru_exit_1,2023-01-28,24,24,-6.091666666666666
yeouinaru_exit_1,2023-01-29,24,72,-2.220833333333333
yeouinaru_exit_1,2023-01-30,24,100,-0.795833333333333
yeouinaru_exit_1,2023-01-31,24,164,1.8291666666666666
yeouinaru_exit_1,2023-02-01,24,101,1.633333333333334
yeouinaru_exit_1,2023-02-02,24,103,-2.3208333333333333
yeouinaru_exit_1,2023-02-03,24,98,-1.5458333333333332
yeouinaru_exit_1,2023-02-04,24,111,-0.33749999999999986
yeouinaru_exit_1,2023-02-05,24,204,1.4416666666666667
yeouinaru_exit_1,2023-02-06,24,180,2.9499999999999997
yeouinaru_exit_1,2023-02-07,24,164,3.4749999999999996
yeouinaru_exit_1,2023-02-08,24,204,2.3875
yeouinaru_exit_1,2023-02-09,24,238,3.5333333333333337
yeouinaru_exit_1,2023-02-10,24,156,4.208333333333334
yeouinaru_exit_1,2023-02-11,24,210,2.783333333333333
yeouinaru_exit_1,2023-02-12,24,203,3.358333333333333
yeouinaru_exit_1,2023-02-13,24,247,6.125
yeouinaru_exit_1,2023-02-14,24,183,1.9291666666666665
yeouinaru_exit_1,2023-02-15,24,241,3.066666666666667
yeouinaru_exit_1,2023-02-16,24,152,2.520833333333334
yeouinaru_exit_1,2023-02-17,24,228,3.1750000000000003
yeouinaru_exit_1,2023-02-18,24,170,5.487500000000001
yeouinaru_exit_1,2023-02-19,24,169,3.945833333333334
yeouinaru_exit_1,2023-02-20,24,145,-0.23750000000000004
yeouinaru_exit_1,2023-02-21,24,158,-1.3249999999999995
yeouinaru_exit_1,2023-02-22,24,203,0.9416666666666672
yeouinaru_exit_1,2023-02-23,24,206,2.6875
yeouinaru_exit_1,2023-02-24,24,151,3.729166666666666
yeouinaru_exit_1,2023-02-25,24,133,0.6916666666666665
yeouinaru_exit_1,2023-02-26,24,275,2.1125
yeouinaru_exit_1,2023-02-27,24,327,4.250000000000001
yeouinaru_exit_1,2023-02-28,24,266,3.908333333333333
yeouinaru_exit_1,2023-03-01,24,278,6.295833333333333
yeouinaru_exit_1,2023-03-02,24,163,2.354166666666667
yeouinaru_exit_1,2023-03-03,24,215,4.145833333333333
yeouinaru_exit_1,2023-03-04,24,397,7.745833333333334
yeouinaru_exit_1,2023-03-05,24,501,8.000000000000002
yeouinaru_exit_1,2023-03-06,24,371,8.8875
yeouinaru_exit_1,2023-03-07,24,367,11.504166666666665
yeouinaru_exit_1,2023-03-08,24,286,12.283333333333337
yeouinaru_exit_1,2023-03-09,24,177,10.725
yeouinaru_exit_1,2023-03-10,24,533,13.12083333333333
yeouinaru_exit_1,2023-03-11,24,885,15.204166666666666
yeouinaru_exit_1,2023-03-12,24,105,7.104166666666667
yeouinaru_exit_1,2023-03-13,24,177,2.5750000000000006
yeouinaru_exit_1,2023-03-14,24,311,8.833333333333334
yeouinaru_exit_1,2023-03-15,24,249,9.129166666666668
yeouinaru_exit_1,2023-03-16,24,220,4.579166666666667
yeouinaru_exit_1,2023-03-17,24,304,6.8500000000000005
yeouinaru_exit_1,2023-03-18,24,520,7.958333333333332
yeouinaru_exit_1,2023-03-19,24,759,8.245833333333332
yeouinaru_exit_1,2023-03-20,24,368,9.275
yeouinaru_exit_1,2023-03-21,24,624,12.645833333333334
yeouinaru_exit_1,2023-03-22,24,528,16.366666666666664
yeouinaru_exit_1,2023-03-23,24,543,17.84583333333333
yeouinaru_exit_1,2023-03-24,24,518,12.666666666666664
yeouinaru_exit_1,2023-03-25,24,920,12.62083333333333
yeouinaru_exit_1,2023-03-26,24,748,9.820833333333331
yeouinaru_exit_1,2023-03-27,24,383,7.287499999999999
yeouinaru_exit_1,2023-03-28,24,548,8.95
yeouinaru_exit_1,2023-03-29,24,607,11.637500000000001
yeouinaru_exit_1,2023-03-30,24,676,13.266666666666667
yeouinaru_exit_1,2023-03-31,24,856,14.737500000000002
yeouinaru_exit_1,2023-04-01,24,1312,17.166666666666668
yeouinaru_exit_1,2023-04-02,24,1406,18.65
yeouinaru_exit_1,2023-04-03,24,1023,18.912499999999998
yeouinaru_exit_1,2023-04-04,24,390,18.079166666666666
yeouinaru_exit_1,2023-04-05,24,35,12.095833333333331
yeouinaru_exit_1,2023-04-06,24,114,8.966666666666667
yeouinaru_exit_1,2023-04-07,24,444,9.1125
yeouinaru_exit_1,2023-04-08,24,651,8.520833333333334
yeouinaru_exit_1,2023-04-09,24,720,10.4875
yeouinaru_exit_1,2023-04-10,24,463,12.7875
yeouinaru_exit_1,2023-04-11,24,225,13.35
yeouinaru_exit_1,2023-04-12,24,272,10.158333333333333
yeouinaru_exit_1,2023-04-13,24,255,11.633333333333333
yeouinaru_exit_1,2023-04-14,24,453,15.825000000000003
yeouinaru_exit_1,2023-04-15,24,314,13.875000000000002
yeouinaru_exit_1,2023-04-16,24,397,10.879166666666665
